host,port,protocol,type,latency_ms,verified_at,source
195.254.165.18,65535,mtproto,mtproto,,,whoahaow/rjsxrd
195.254.165.68,65535,mtproto,mtproto,,,whoahaow/rjsxrd
195.254.165.69,65535,mtproto,mtproto,,,whoahaow/rjsxrd
91.239.192.111,25565,mtproto,mtproto,,,whoahaow/rjsxrd
185.23.19.38,443,mtproto,mtproto,,,whoahaow/rjsxrd
185.23.19.220,344,mtproto,mtproto,,,whoahaow/rjsxrd
185.84.157.254,444,mtproto,mtproto,,,whoahaow/rjsxrd
185.84.157.100,443,mtproto,mtproto,,,whoahaow/rjsxrd
85.192.32.50,443,mtproto,mtproto,,,whoahaow/rjsxrd
tg.watchnow.icu,443,mtproto,mtproto,,,whoahaow/rjsxrd
file-v1.bosx.net,8888,mtproto,mtproto,,,whoahaow/rjsxrd
72.56.25.212,443,mtproto,mtproto,513.76,,femboypig/Swift
72.56.102.104,443,mtproto,mtproto,107.22,,shablin/mtproto-proxy
176.57.69.182,53627,mtproto,mtproto,477.82,,shablin/mtproto-proxy
85.17.89.193,443,mtproto,mtproto,515.5,,shablin/mtproto-proxy
132.243.235.143,443,mtproto,mtproto,110.04,,shablin/mtproto-proxy
132.243.235.196,443,mtproto,mtproto,102.81,,shablin/mtproto-proxy
132.243.235.188,443,mtproto,mtproto,118.24,,shablin/mtproto-proxy
194.50.94.169,443,mtproto,mtproto,111.35,,shablin/mtproto-proxy
89.125.1.94,22,mtproto,mtproto,114.11,,shablin/mtproto-proxy
2.27.12.116,443,mtproto,mtproto,118.0,,10ium/VpnClashFaCollector
132.243.235.197,443,mtproto,mtproto,115.04,,kort0881/telegram-proxy-collector
94.103.1.226,443,mtproto,mtproto,113.74,,shablin/mtproto-proxy
217.144.187.230,443,mtproto,mtproto,123.17,,shablin/mtproto-proxy
45.38.23.169,443,mtproto,mtproto,111.46,,shablin/mtproto-proxy
185.84.156.90,4515,mtproto,mtproto,500.17,,shablin/mtproto-proxy
94.183.255.79,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
194.62.66.202,443,mtproto,mtproto,122.63,,shablin/mtproto-proxy
31.77.207.14,35460,mtproto,mtproto,,,kort0881/telegram-proxy-collector
50.7.41.162,443,mtproto,mtproto,116.27,,shablin/mtproto-proxy
212.113.116.232,443,mtproto,mtproto,121.09,,shablin/mtproto-proxy
77.73.135.166,443,mtproto,mtproto,127.59,,shablin/mtproto-proxy
150.241.70.0,443,mtproto,mtproto,118.6,,shablin/mtproto-proxy
50.7.230.106,443,mtproto,mtproto,125.99,,shablin/mtproto-proxy
132.243.213.215,443,mtproto,mtproto,120.35,,shablin/mtproto-proxy
167.86.100.17,443,mtproto,mtproto,116.87,,shablin/mtproto-proxy
2.27.25.192,443,mtproto,mtproto,122.78,,shablin/mtproto-proxy
77.73.135.70,443,mtproto,mtproto,137.12,,shablin/mtproto-proxy
191.44.112.217,443,mtproto,mtproto,,,shablin/mtproto-proxy
88.99.194.177,443,mtproto,mtproto,125.53,,shablin/mtproto-proxy
31.41.33.114,443,mtproto,mtproto,126.23,,shablin/mtproto-proxy
95.85.229.179,443,mtproto,mtproto,699.67,,shablin/mtproto-proxy
201.4.76.36,443,mtproto,mtproto,129.78,,shablin/mtproto-proxy
201.7.22.118,443,mtproto,mtproto,129.61,,shablin/mtproto-proxy
144.31.167.194,443,mtproto,mtproto,122.25,,kort0881/telegram-proxy-collector
77.239.125.158,443,mtproto,mtproto,132.81,,shablin/mtproto-proxy
138.124.8.168,443,mtproto,mtproto,,,shablin/mtproto-proxy
150.241.65.113,443,mtproto,mtproto,159.82,,femboypig/Swift
2.26.98.206,443,mtproto,mtproto,129.9,,shablin/mtproto-proxy
201.7.22.157,443,mtproto,mtproto,129.84,,shablin/mtproto-proxy
rep.flightv.online,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
2.26.98.158,443,mtproto,mtproto,129.37,,shablin/mtproto-proxy
201.7.22.158,443,mtproto,mtproto,,,shablin/mtproto-proxy
144.31.221.60,443,mtproto,mtproto,135.53,,shablin/mtproto-proxy
87.120.196.107,443,mtproto,mtproto,137.38,,shablin/mtproto-proxy
78.17.71.42,443,mtproto,mtproto,126.04,,kort0881/telegram-proxy-collector
201.7.22.98,443,mtproto,mtproto,123.82,,shablin/mtproto-proxy
2.27.59.225,443,mtproto,mtproto,125.66,,shablin/mtproto-proxy
89.127.201.206,443,mtproto,mtproto,584.68,,shablin/mtproto-proxy
104.253.43.230,443,mtproto,mtproto,143.51,,shablin/mtproto-proxy
global.lovely.lat,443,mtproto,mtproto,3147.83,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
45.80.229.214,443,mtproto,mtproto,167.01,,shablin/mtproto-proxy
core.mtjlpoto.fit,443,mtproto,mtproto,633.62,,shablin/mtproto-proxy
route.lovely.lat,443,mtproto,mtproto,726.38,,shablin/mtproto-proxy
104.253.43.252,443,mtproto,mtproto,134.13,,shablin/mtproto-proxy
45.94.47.152,443,mtproto,mtproto,138.63,,shablin/mtproto-proxy
link.lovely.lat,443,mtproto,mtproto,1049.14,,femboypig/Swift
2.27.48.133,4443,mtproto,mtproto,143.72,,shablin/mtproto-proxy
31.58.137.124,443,mtproto,mtproto,130.93,,shablin/mtproto-proxy
free-finland.kimt.space,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
flux.lovely.lat,443,mtproto,mtproto,605.85,,shablin/mtproto-proxy
orbit.mtp.llc,443,mtproto,mtproto,789.04,,shablin/mtproto-proxy
connect.mtjlpoto.fit,443,mtproto,mtproto,622.92,,kort0881/telegram-proxy-collector
link.mtproxy.cc,443,mtproto,mtproto,609.07,,femboypig/Swift
edge.lovely.lat,443,mtproto,mtproto,623.43,,shablin/mtproto-proxy
89.125.113.11,443,mtproto,mtproto,146.78,,kort0881/telegram-proxy-collector
global.mtjlpoto.fit,443,mtproto,mtproto,605.56,,femboypig/Swift
89.125.113.8,443,mtproto,mtproto,151.39,,shablin/mtproto-proxy
80.96.112.222,443,mtproto,mtproto,145.46,,shablin/mtproto-proxy
mtproto.ONLINE,443,mtproto,mtproto,673.48,,shablin/mtproto-proxy
91.108.239.183,443,mtproto,mtproto,150.74,,shablin/mtproto-proxy
2.26.91.70,8443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
45.67.57.32,443,mtproto,mtproto,160.61,,shablin/mtproto-proxy
naturalistic.receptacle.sternutator.teleseryetvreplay.com,443,mtproto,mtproto,628.19,,shablin/mtproto-proxy
185.82.218.79,443,mtproto,mtproto,173.13,,kort0881/telegram-proxy-collector
edge.mtjlpoto.fit,443,mtproto,mtproto,1943.77,,shablin/mtproto-proxy
obhod.wearvpn.online,443,mtproto,mtproto,1657.93,,shablin/mtproto-proxy
x.shmelproxy.top,443,mtproto,mtproto,1264.01,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
stream.mtjlpoto.fit,443,mtproto,mtproto,1464.81,,femboypig/Swift
node.mtjlpoto.fit,443,mtproto,mtproto,1443.96,,shablin/mtproto-proxy
cdn3.cdnwave.org,443,mtproto,mtproto,950.48,,shablin/mtproto-proxy
route.mtproxy.cc,443,mtproto,mtproto,587.82,,femboypig/Swift
portal.mtproxy.cc,443,mtproto,mtproto,614.79,,kort0881/telegram-proxy-collector
155.212.142.105,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
api.lovely.lat,443,mtproto,mtproto,634.01,,shablin/mtproto-proxy
tg.moonlunavpn.com,8443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
mtp3.hlebushek.com,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
mtp2.hlebushek.com,443,mtproto,mtproto,467.73,,kort0881/telegram-proxy-collector
mtp1.hlebushek.com,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
pulse.lovely.lat,443,mtproto,mtproto,791.79,,femboypig/Swift
alpenstock.damnification.sublattice.compinoy.com,443,mtproto,mtproto,667.93,,10ium/VpnClashFaCollector
boxwood.calash.saveloy.wowteleserye.com,443,mtproto,mtproto,1770.22,,shablin/mtproto-proxy
s4.assetflux.org,443,mtproto,mtproto,939.63,,shablin/mtproto-proxy
media14.happtg.org,443,mtproto,mtproto,726.9,,shablin/mtproto-proxy
sensitizer.unparted.upscale.gmateleserye.com,443,mtproto,mtproto,609.31,,10ium/VpnClashFaCollector
eruptive.predefine.unfabled.teleseryegroup.com,443,mtproto,mtproto,864.86,,10ium/VpnClashFaCollector
data.mtproxy.cc,443,mtproto,mtproto,610.58,,femboypig/Swift
lith.paddle.sank.compinoy.com,443,mtproto,mtproto,644.62,,kort0881/telegram-proxy-collector
s2.assetflux.org,443,mtproto,mtproto,928.49,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
assurgent.gaw.openwork.teleseryestvheaven.com,443,mtproto,mtproto,840.13,,shablin/mtproto-proxy
172.65.122.51,25565,mtproto,mtproto,21.06,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
172.65.111.25,22,mtproto,mtproto,13.42,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
172.65.105.80,25565,mtproto,mtproto,6.13,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
172.65.103.117,22,mtproto,mtproto,18.13,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
172.65.113.134,22,mtproto,mtproto,9.18,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
mt.joumalanet.co.uk,25565,mtproto,mtproto,676.9,,10ium/VpnClashFaCollector
sioms.co.uk,25565,mtproto,mtproto,364.0,,10ium/VpnClashFaCollector
bomberoo.shop,25565,mtproto,mtproto,670.82,,kort0881/telegram-proxy-collector
ssh.meow0.co.uk,22,mtproto,mtproto,261.46,,femboypig/Swift
help.meow0.co.uk,22,mtproto,mtproto,230.42,,femboypig/Swift
66.33.22.238,45961,mtproto,mtproto,32.55,,kort0881/telegram-proxy-collector
66.33.22.253,58109,mtproto,mtproto,32.53,,kort0881/telegram-proxy-collector
66.33.22.225,23318,mtproto,mtproto,28.72,,kort0881/telegram-proxy-collector
mash.drproxy.pro,443,mtproto,mtproto,576.88,,kort0881/telegram-proxy-collector
http.khelijefars.co.uk,22,mtproto,mtproto,559.88,,kort0881/telegram-proxy-collector
mimecraft4ir.homes,25565,mtproto,mtproto,687.5,,kort0881/telegram-proxy-collector
por.sorat.ir.khdakjahdskj.info,8443,mtproto,mtproto,569.48,,kort0881/telegram-proxy-collector
miinecrafto.com,25565,mtproto,mtproto,530.51,,kort0881/telegram-proxy-collector
tls.joumalanet.co.uk,25565,mtproto,mtproto,616.3,,kort0881/telegram-proxy-collector
161.0.16.189,443,mtproto,mtproto,50.65,,kort0881/telegram-proxy-collector
ssh2.best-moz.info,22,mtproto,mtproto,270.88,,kort0881/telegram-proxy-collector
mt2.best-moz.info,25565,mtproto,mtproto,485.03,,kort0881/telegram-proxy-collector
ssh.best-moz.info,22,mtproto,mtproto,237.78,,femboypig/Swift
t.meow-meow-fast.site,443,mtproto,mtproto,382.22,,kort0881/telegram-proxy-collector
mt.best-moz.info,25565,mtproto,mtproto,612.16,,kort0881/telegram-proxy-collector
153.121.43.226,22335,mtproto,mtproto,134.45,,kort0881/telegram-proxy-collector
94.184.32.110,2020,mtproto,mtproto,,,kort0881/telegram-proxy-collector
94.184.39.7,2020,mtproto,mtproto,110.5,,kort0881/telegram-proxy-collector
212.108.98.105.aprawood.ir,2020,mtproto,mtproto,1451.23,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
212.108.98.6.aprawood.ir,2020,mtproto,mtproto,1345.48,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
94.184.32.101.aprawood.ir,2020,mtproto,mtproto,1213.6,,10ium/VpnClashFaCollector
94.184.32.110.aprawood.ir,2020,mtproto,mtproto,1408.3,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
212.108.98.102.aprawood.ir,2020,mtproto,mtproto,866.7,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
212.108.98.100.aprawood.ir,2020,mtproto,mtproto,565.97,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
94.184.39.5,2020,mtproto,mtproto,115.07,,10ium/VpnClashFaCollector
212.108.98.7.aprawood.ir,2020,mtproto,mtproto,495.96,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
94.184.39.8,2020,mtproto,mtproto,109.41,,10ium/VpnClashFaCollector
94.184.39.9,2020,mtproto,mtproto,365.82,,10ium/VpnClashFaCollector
94.184.32.109.aprawood.ir,2020,mtproto,mtproto,535.46,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
94.184.32.102.aprawood.ir,2020,mtproto,mtproto,915.92,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
94.184.39.6,2020,mtproto,mtproto,365.89,,10ium/VpnClashFaCollector
212.108.98.104.aprawood.ir,2020,mtproto,mtproto,897.96,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
212.108.98.103.aprawood.ir,2020,mtproto,mtproto,883.16,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
91.84.109.244,443,mtproto,mtproto,107.22,,kort0881/telegram-proxy-collector
www.505-808-404-202.ir.,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
Hamrah.mci.ir.pugfhtrdyted.info.,7443,mtproto,mtproto,,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
94.184.32.109,2020,mtproto,mtproto,,,kort0881/telegram-proxy-collector
45.11.187.110,8443,mtproto,mtproto,118.59,,kort0881/telegram-proxy-collector
95.170.13.27,443,mtproto,mtproto,142.38,,kort0881/telegram-proxy-collector
www.www78-62-184-9.ir.,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
87.248.129.7,2053,mtproto,mtproto,506.39,,10ium/VpnClashFaCollector
87.248.129.53,15,mtproto,mtproto,512.71,,10ium/VpnClashFaCollector
176.65.135.69,443,mtproto,mtproto,113.79,,kort0881/telegram-proxy-collector
212.192.13.122,443,mtproto,mtproto,197.29,,kort0881/telegram-proxy-collector
87.248.129.13,15,mtproto,mtproto,518.12,,10ium/VpnClashFaCollector
103.161.35.23,443,mtproto,mtproto,113.13,,kort0881/telegram-proxy-collector
104.234.77.117,853,mtproto,mtproto,,,kort0881/telegram-proxy-collector
194.60.228.11,2053,mtproto,mtproto,400.25,,10ium/VpnClashFaCollector
89.144.35.35,88,mtproto,mtproto,518.34,,kort0881/telegram-proxy-collector
212.108.98.4.aprawood.ir,2020,mtproto,mtproto,4149.06,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
104.234.77.231,853,mtproto,mtproto,,,kort0881/telegram-proxy-collector
45.11.187.130,8443,mtproto,mtproto,117.16,,kort0881/telegram-proxy-collector
194.120.230.37,443,mtproto,mtproto,116.77,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
104.234.77.168,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
104.234.203.125,853,mtproto,mtproto,,,kort0881/telegram-proxy-collector
104.234.77.240,853,mtproto,mtproto,,,kort0881/telegram-proxy-collector
31.56.184.227,443,mtproto,mtproto,118.71,,10ium/VpnClashFaCollector
104.234.203.105,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
45.76.88.12,443,mtproto,mtproto,118.74,,kort0881/telegram-proxy-collector
194.60.228.99,2053,mtproto,mtproto,117.31,,10ium/VpnClashFaCollector
194.60.228.122,8880,mtproto,mtproto,111.25,,kort0881/telegram-proxy-collector
5.83.129.84,443,mtproto,mtproto,112.63,,kort0881/telegram-proxy-collector
194.60.228.69,8880,mtproto,mtproto,395.63,,10ium/VpnClashFaCollector
194.60.228.20,2096,mtproto,mtproto,111.96,,kort0881/telegram-proxy-collector
khalije-ta-abad-fars.ir.pugfhtrdyted.info,88,mtproto,mtproto,573.68,,kort0881/telegram-proxy-collector
194.60.228.125,8880,mtproto,mtproto,118.37,,kort0881/telegram-proxy-collector
194.60.228.67,8880,mtproto,mtproto,115.29,,kort0881/telegram-proxy-collector
194.60.228.124,8880,mtproto,mtproto,116.23,,kort0881/telegram-proxy-collector
89.144.35.156,88,mtproto,mtproto,522.41,,kort0881/telegram-proxy-collector
80.76.44.13,443,mtproto,mtproto,119.3,,kort0881/telegram-proxy-collector
176.65.128.63,443,mtproto,mtproto,400.29,,kort0881/telegram-proxy-collector
155.254.35.188,8080,mtproto,mtproto,117.96,,kort0881/telegram-proxy-collector
87.248.129.49,443,mtproto,mtproto,470.14,,kort0881/telegram-proxy-collector
104.234.203.238,853,mtproto,mtproto,,,kort0881/telegram-proxy-collector
45.202.242.92,443,mtproto,mtproto,43.91,,kort0881/telegram-proxy-collector
45.202.241.250,443,mtproto,mtproto,56.35,,kort0881/telegram-proxy-collector
143.246.57.51,443,mtproto,mtproto,52.62,,kort0881/telegram-proxy-collector
109.248.160.115,443,mtproto,mtproto,24.01,,kort0881/telegram-proxy-collector
176.65.151.253,443,mtproto,mtproto,114.6,,kort0881/telegram-proxy-collector
87.199.202.160,80,mtproto,mtproto,132.53,,kort0881/telegram-proxy-collector
62.171.135.77,443,mtproto,mtproto,116.03,,kort0881/telegram-proxy-collector
173.249.36.34,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
95.111.234.50,443,mtproto,mtproto,117.11,,kort0881/telegram-proxy-collector
79.137.196.223,2443,mtproto,mtproto,572.56,,kort0881/telegram-proxy-collector
176.65.151.224,443,mtproto,mtproto,117.49,,kort0881/telegram-proxy-collector
79.137.196.223,15443,mtproto,mtproto,532.46,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
81.90.17.8,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
2.26.255.171,443,mtproto,mtproto,129.68,,kort0881/telegram-proxy-collector
79.137.196.223,13443,mtproto,mtproto,558.44,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
81.90.17.11,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
79.137.196.223,14443,mtproto,mtproto,553.88,,kort0881/telegram-proxy-collector
91.99.209.184,443,mtproto,mtproto,126.63,,kort0881/telegram-proxy-collector
5.178.96.232,443,mtproto,mtproto,140.65,,kort0881/telegram-proxy-collector
81.90.17.4,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
live.lovely.lat,443,mtproto,mtproto,592.77,,10ium/VpnClashFaCollector
2.26.255.174,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
anchor.lovely.lat,443,mtproto,mtproto,2553.82,,kort0881/telegram-proxy-collector
app.lovely.lat,443,mtproto,mtproto,2655.76,,kort0881/telegram-proxy-collector
static.lovely.lat,443,mtproto,mtproto,726.19,,kort0881/telegram-proxy-collector
core.lovely.lat,443,mtproto,mtproto,595.15,,kort0881/telegram-proxy-collector
213.165.34.214,443,mtproto,mtproto,134.11,,kort0881/telegram-proxy-collector
2.57.243.67,80,mtproto,mtproto,140.2,,kort0881/telegram-proxy-collector
assets.lovely.lat,443,mtproto,mtproto,664.14,,kort0881/telegram-proxy-collector
65.108.154.5,443,mtproto,mtproto,142.09,,kort0881/telegram-proxy-collector
37.27.38.205,443,mtproto,mtproto,635.77,,kort0881/telegram-proxy-collector
159.194.208.47,443,mtproto,mtproto,189.46,,kort0881/telegram-proxy-collector
stream.lovely.lat,443,mtproto,mtproto,595.06,,femboypig/Swift
zone.lovely.lat,443,mtproto,mtproto,759.64,,kort0881/telegram-proxy-collector
region.lovely.lat,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
cloud.lovely.lat,443,mtproto,mtproto,569.9,,kort0881/telegram-proxy-collector
connect.lovely.lat,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
hub.lovely.lat,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
gateway.lovely.lat,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
tr.silaber.qzz.io,8880,mtproto,mtproto,,,kort0881/telegram-proxy-collector
cache.lovely.lat,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
sync.lovely.lat,443,mtproto,mtproto,673.33,,femboypig/Swift
telega.its-work.ru,443,mtproto,mtproto,,,kort0881/telegram-proxy-collector
node.lovely.lat,443,mtproto,mtproto,742.97,,kort0881/telegram-proxy-collector
79.137.196.223,12443,mtproto,mtproto,525.62,,kort0881/telegram-proxy-collector
185.84.156.136,444,mtproto,mtproto,381.59,,10ium/VpnClashFaCollector
185.84.156.137,444,mtproto,mtproto,400.28,,10ium/VpnClashFaCollector
204.168.145.16,443,mtproto,mtproto,491.81,,10ium/VpnClashFaCollector
5.161.134.74,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
5.223.59.179,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
65.109.201.54,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
65.109.205.167,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
65.109.218.46,443,mtproto,mtproto,629.57,,10ium/VpnClashFaCollector
770.ir.meli-n13.info,8443,mtproto,mtproto,445.96,,10ium/VpnClashFaCollector
7700.ir.meli-n13.info,8443,mtproto,mtproto,540.47,,10ium/VpnClashFaCollector
777800.ir.meli-n13.info,8443,mtproto,mtproto,458.39,,10ium/VpnClashFaCollector
78.47.217.196,443,mtproto,mtproto,,,10ium/VpnClashFaCollector
82.165.106.193,443,mtproto,mtproto,122.52,,10ium/VpnClashFaCollector
8992.ir.meli-n13.info,8443,mtproto,mtproto,457.0,,10ium/VpnClashFaCollector
899990lm.ir.meli-n13.info,8443,mtproto,mtproto,498.03,,10ium/VpnClashFaCollector
8pl9o1.ir.ir.ir.meli-n12.info,8443,mtproto,mtproto,433.42,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
91.107.157.181,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
91.234.147.5.aprawood.ir,2020,mtproto,mtproto,256.93,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
91.234.147.6.aprawood.ir,2020,mtproto,mtproto,253.04,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
91.234.147.7.aprawood.ir,2020,mtproto,mtproto,248.2,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
91.234.147.9.aprawood.ir,2020,mtproto,mtproto,246.82,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
api.sinlx.ir.,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
apps.sinlx.ir,8443,mtproto,mtproto,,,10ium/VpnClashFaCollector
b.terminalo.ir,443,mtproto,mtproto,639.07,,10ium/VpnClashFaCollector
bale.foltmeingop.co.uk,8880,mtproto,mtproto,753.62,,seedlist:https://raw.githubusercontent.com/Argh94/Proxy-List/main/MTProto.txt
cr777.goooalir.co.uk,8443,mtproto,mtproto,469.9,,seedlist:https://raw.githubusercontent.com/Grim1313/mtproto-for-telegram/master/all_proxies.md
